z, y, u_fluc, v_fluc, w_fluc
    0.000133,    0.000001,    0.000000,    0.000000,    0.000000
    0.000266,    0.000001,    0.000000,    0.000000,   -0.000000
    0.000399,    0.000001,   -0.000000,   -0.000000,   -0.000000
    0.000532,    0.000001,   -0.000000,    0.000000,   -0.000000
    0.000665,    0.000001,    0.000000,    0.000000,    0.000000
    0.000798,    0.000001,   -0.000000,    0.000000,    0.000000
    0.000931,    0.000001,   -0.000000,    0.000000,    0.000000
    0.001064,    0.000001,    0.000000,    0.000000,   -0.000000
    0.001197,    0.000001,    0.000000,    0.000000,   -0.000000
    0.001330,    0.000001,    0.000000,    0.000000,   -0.000000
    0.001463,    0.000001,   -0.000000,   -0.000000,   -0.000000
    0.001596,    0.000001,    0.000000,    0.000000,    0.000000
    0.001729,    0.000001,   -0.000000,    0.000000,    0.000000
    0.001862,    0.000001,    0.000000,    0.000000,    0.000000
    0.001995,    0.000001,    0.000000,    0.000000,   -0.000000
    0.002128,    0.000001,    0.000000,    0.000000,    0.000000
    0.002261,    0.000001,    0.000000,    0.000000,    0.000000
    0.002394,    0.000001,   -0.000000,   -0.000000,   -0.000000
    0.002527,    0.000001,    0.000000,    0.000000,    0.000000
    0.002660,    0.000001,    0.000000,    0.000000,   -0.000000
    0.002793,    0.000001,    0.000000,    0.000000,    0.000000
    0.002926,    0.000001,   -0.000000,   -0.000000,    0.000000
    0.003059,    0.000001,    0.000000,    0.000000,    0.000000
    0.003192,    0.000001,    0.000000,    0.000000,    0.000000
    0.003325,    0.000001,    0.000000,    0.000000,   -0.000000
    0.003458,    0.000001,   -0.000000,    0.000000,   -0.000000
    0.003591,    0.000001,    0.000000,    0.000000,    0.000000
    0.003724,    0.000001,    0.000000,    0.000000,   -0.000000
    0.003857,    0.000001,    0.000000,    0.000000,    0.000000
    0.003990,    0.000001,    0.000000,    0.000000,    0.000000
    0.000133,    0.000002,    3.181924,   -0.335212,    3.240918
    0.000266,    0.000002,    6.716855,    0.047055,   -3.633708
    0.000399,    0.000002,   -0.422039,   -2.393637,   -6.955608
    0.000532,    0.000002,   -5.263796,    0.937929,   -1.710596
    0.000665,    0.000002,    3.014388,    0.596607,    6.339454
    0.000798,    0.000002,  -12.923446,    3.737186,    6.161419
    0.000931,    0.000002,   -0.770263,    2.719768,    0.726626
    0.001064,    0.000002,    6.496252,    1.013000,   -1.188271
    0.001197,    0.000002,    7.763077,    0.260751,   -3.186803
    0.001330,    0.000002,    5.815286,    1.620556,   -2.009630
    0.001463,    0.000002,   -0.486995,   -1.257105,   -1.356497
    0.001596,    0.000002,    7.945976,   -0.958647,    6.927951
    0.001729,    0.000002,   -2.148812,    0.183056,    1.709185
    0.001862,    0.000002,    6.717726,   -0.450812,    3.490838
    0.001995,    0.000002,    3.023881,   -0.674577,   -0.538761
    0.002128,    0.000002,   19.324845,   -1.622995,    5.134186
    0.002261,    0.000002,   11.228151,   -0.576060,    1.568308
    0.002394,    0.000002,    0.315565,   -0.183510,   -1.527010
    0.002527,    0.000002,    0.357418,    0.042343,    0.814363
    0.002660,    0.000002,    6.654377,   -0.588737,   -0.109225
    0.002793,    0.000002,    6.585327,   -0.726754,    3.201697
    0.002926,    0.000002,   -6.987756,   -0.876580,    4.679411
    0.003059,    0.000002,   11.255623,    0.511951,    4.438996
    0.003192,    0.000002,    3.708483,   -1.209510,    4.229330
    0.003325,    0.000002,   11.411074,    0.778412,   -2.967192
    0.003458,    0.000002,   -3.016563,    2.204363,   -2.984451
    0.003591,    0.000002,    2.173556,    1.158325,    4.028959
    0.003724,    0.000002,   11.262463,    1.377702,   -2.211327
    0.003857,    0.000002,    1.680009,    0.186346,    2.484873
    0.003990,    0.000002,    8.243384,   -2.392219,    6.307131
    0.000133,    0.000004,    8.032036,   -2.026805,    6.376222
    0.000266,    0.000004,   14.724736,   -0.278862,   -6.960181
    0.000399,    0.000004,    2.616900,   -4.700616,  -13.170903
    0.000532,    0.000004,  -10.460544,    1.365026,   -1.918519
    0.000665,    0.000004,    6.618022,    1.142371,   12.683851
    0.000798,    0.000004,  -21.136753,    7.871448,   10.621297
    0.000931,    0.000004,    0.304318,    5.871802,    1.215263
    0.001064,    0.000004,   12.242012,    1.996730,   -1.876418
    0.001197,    0.000004,   14.538777,    1.094912,   -6.851284
    0.001330,    0.000004,   10.940724,    2.259162,   -2.843273
    0.001463,    0.000004,    1.309412,   -3.307473,   -2.268724
    0.001596,    0.000004,   14.534210,   -3.066592,   13.481060
    0.001729,    0.000004,   -1.606277,   -0.656465,    2.890467
    0.001862,    0.000004,   10.396575,   -0.988244,    6.208239
    0.001995,    0.000004,    5.298563,   -1.135704,   -0.876281
    0.002128,    0.000004,   33.869527,   -3.102979,   11.054246
    0.002261,    0.000004,   23.038079,   -2.174890,    3.591920
    0.002394,    0.000004,    1.258410,    0.631104,   -1.480002
    0.002527,    0.000004,    2.065459,    0.772985,    0.841073
    0.002660,    0.000004,   10.820072,   -0.494069,   -0.659585
    0.002793,    0.000004,   13.066041,   -1.250019,    6.411794
    0.002926,    0.000004,  -12.033393,   -1.419281,    8.452043
    0.003059,    0.000004,   23.044050,    0.933721,    8.595567
    0.003192,    0.000004,    3.908252,   -1.823139,    8.819340
    0.003325,    0.000004,   24.012556,    1.812970,   -6.006146
    0.003458,    0.000004,   -5.991862,    4.180790,   -5.239862
    0.003591,    0.000004,    0.993145,    3.048096,    6.295337
    0.003724,    0.000004,   21.583080,    3.478934,   -3.710603
    0.003857,    0.000004,    2.376502,    0.052619,    4.446480
    0.003990,    0.000004,   19.453868,   -3.497625,   11.171842
    0.000133,    0.000005,   14.583482,   -4.982509,    8.641813
    0.000266,    0.000005,   24.208436,   -1.531064,  -10.711802
    0.000399,    0.000005,    7.464801,   -6.747089,  -16.673329
    0.000532,    0.000005,  -18.549487,    1.379498,   -1.214837
    0.000665,    0.000005,   10.362769,    1.414233,   18.876978
    0.000798,    0.000005,  -25.993192,   10.978017,   13.556673
    0.000931,    0.000005,    5.030190,    7.191410,    1.583066
    0.001064,    0.000005,   17.130173,    3.605772,   -2.108697
    0.001197,    0.000005,   20.507418,   -0.296720,  -10.760140
    0.001330,    0.000005,   14.416639,    1.804900,   -3.148739
    0.001463,    0.000005,    3.627817,   -4.936698,   -3.568356
    0.001596,    0.000005,   18.075601,   -4.105697,   18.538408
    0.001729,    0.000005,    0.866833,   -0.874867,    3.854048
    0.001862,    0.000005,   15.054067,   -1.917373,    8.792403
    0.001995,    0.000005,    8.373277,   -0.028264,   -0.901077
    0.002128,    0.000005,   44.841315,   -3.202180,   16.998625
    0.002261,    0.000005,   35.363668,   -2.960302,    5.882478
    0.002394,    0.000005,    1.401841,    1.937464,   -0.153747
    0.002527,    0.000005,    3.245095,    3.526605,    1.213448
    0.002660,    0.000005,   10.843111,   -0.631186,   -0.377139
    0.002793,    0.000005,   18.918608,   -1.366087,    8.518818
    0.002926,    0.000005,  -18.439575,   -0.416478,   10.650008
    0.003059,    0.000005,   31.120819,    1.172282,   11.717871
    0.003192,    0.000005,    2.059591,   -0.950212,   13.235212
    0.003325,    0.000005,   37.785640,    2.986313,   -7.800713
    0.003458,    0.000005,  -10.037956,    4.409586,   -6.184539
    0.003591,    0.000005,   -1.204946,    4.403877,    7.117408
    0.003724,    0.000005,   30.217873,    5.375246,   -4.733076
    0.003857,    0.000005,    1.690409,    0.207304,    6.434735
